pattern,mem_space,n2,PP,n_devices,devices
Stride,GlobalMem,8,2.0237901560800376e-10,3,"dpcpp_h100,dpcpp_mi300,dpcpp_pvc"
Stride,GlobalMem,16,1.8864628709543782e-10,3,"dpcpp_h100,dpcpp_mi300,dpcpp_pvc"
Stride,GlobalMem,32,1.9709472444077244e-10,3,"dpcpp_h100,dpcpp_mi300,dpcpp_pvc"
Stride,GlobalMem,64,2.0221703510134245e-10,3,"dpcpp_h100,dpcpp_mi300,dpcpp_pvc"
Stride,GlobalMem,128,1.9743209500329064e-10,3,"dpcpp_h100,dpcpp_mi300,dpcpp_pvc"
Stride,GlobalMem,256,2.0180685453559728e-10,3,"dpcpp_h100,dpcpp_mi300,dpcpp_pvc"
Stride,GlobalMem,512,2.0130885346555196e-10,3,"dpcpp_h100,dpcpp_mi300,dpcpp_pvc"
Stride,GlobalMem,1024,1.9955731187107313e-10,3,"dpcpp_h100,dpcpp_mi300,dpcpp_pvc"
Stride,LocalMem,1,9.293989006182358e-10,3,"dpcpp_h100,dpcpp_mi300,dpcpp_pvc"
Stride,LocalMem,2,8.104541099219575e-10,3,"dpcpp_h100,dpcpp_mi300,dpcpp_pvc"
Stride,LocalMem,4,6.651227540783956e-10,3,"dpcpp_h100,dpcpp_mi300,dpcpp_pvc"
Stride,LocalMem,8,4.94893697932417e-10,3,"dpcpp_h100,dpcpp_mi300,dpcpp_pvc"
Stride,LocalMem,16,4.154057087586311e-10,3,"dpcpp_h100,dpcpp_mi300,dpcpp_pvc"
Stride,LocalMem,32,4.2667027157059523e-10,3,"dpcpp_h100,dpcpp_mi300,dpcpp_pvc"
Stride,LocalMem,64,4.3124182913512527e-10,3,"dpcpp_h100,dpcpp_mi300,dpcpp_pvc"
Stride,LocalMem,128,4.2651333017768155e-10,3,"dpcpp_h100,dpcpp_mi300,dpcpp_pvc"
Stride,LocalMem,256,4.2757905784983534e-10,3,"dpcpp_h100,dpcpp_mi300,dpcpp_pvc"
Stride,LocalMem,512,4.274979370392234e-10,3,"dpcpp_h100,dpcpp_mi300,dpcpp_pvc"
Stride,LocalMem,1024,4.288624262495855e-10,3,"dpcpp_h100,dpcpp_mi300,dpcpp_pvc"
